Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,58.00,45.00,71.00,83.50,62.50,100.00,49.00,90.00,93.00,61.00,80.00,58.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,67.00,65.50,77.00,79.50,66.75,99.50,62.50,94.50,98.00,55.00,79.50,68.50,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,74.00,74.00,87.00,79.00,72.00,97.00,78.00,95.00,97.00,53.00,81.00,63.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,72.00,66.00,80.00,85.00,58.50,98.00,74.00,97.00,97.00,71.00,89.00,67.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire SandrinéO,Maroc,Oujda,EPA,85.00,88.00,87.00,88.00,86.00,99.00,83.00,93.00,98.00,53.00,88.00,77.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EFIW / Ecole Mlf,Chine,Wuhan,EE,68.00,73.00,73.00,78.50,73.00,85.00,75.00,91.00,63.00,94.00,86.00,92.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole MLF-BOUYGUES,Cuba,Ramon de Antilla,EE,100.00,98.00,100.00,100.00,100.00,100.00,99.00,100.00,100.00,99.00,100.00,100.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée de Franceville,Gabon,Gabon,EPA,49.00,70.00,55.00,57.00,44.00,100.00,83.00,91.00,94.00,81.00,73.00,100.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée Gros Bouquet I,Gabon,Libreville,EPA,71.00,87.50,81.50,89.50,76.50,93.00,73.50,94.50,57.50,66.00,97.00,84.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comilog / Ecole de Moanda,Gabon,Moanda,EE,63.00,59.00,75.00,62.00,55.00,94.00,42.00,87.00,57.00,51.00,84.00,59.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée des Charbonnages,Gabon,Libreville,EPA,78.00,85.00,81.00,80.50,69.50,95.00,86.00,59.00,69.00,66.00,87.00,70.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée d'Owendo,Gabon,Libreville,EPA,70.50,72.00,78.00,71.25,62.25,94.50,64.00,73.00,63.00,58.50,85.50,64.50,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
